Point location for the Uralic languages and dialects;;;;;;;
;;;;;;;
Language variant/dialect;Language;Branch;Latitude;Longitude;Otherinfo;Glottocode;ISO_693_3
South Saami;South Saami;Saami;62.88;13.7;Same as Glottolog location;sout2674;sma
Southern South Saami;South Saami;Saami;62.57;12.84;;;
Central South Saami;South Saami;Saami;63.99;13.61;;;
Northern South Saami;South Saami;Saami;64.83;15.44;;;
Ume Saami;Ume Saami;Saami;65.3;17.97;;umes1235;sju
Western Ume Saami;Ume Saami;Saami;65.71;16.28;;;
Central Ume Saami;Ume Saami;Saami;65.29;18.37;;;
Northern Ume Saami;Ume Saami;Saami;65.8;19.14;;;
Pite Saami;Pite Saami;Saami;66.4;17.43;Same as Glottolog location;pite1240;sje
Northern Pite Saami;Pite Saami;Saami;66.55;17.89;;;
Central Pite Saami;Pite Saami;Saami;66.48;16.79;;;
Southern Pite Saami;Pite Saami;Saami;66.22;16.33;;;
Lule Saami;Lule Saami;Saami;67.28;17.81;Same as Glottolog location;lule1254;smj
Forest Lule Saami;Lule Saami;Saami;66.37;20.21;;;
Southern Lule Saami;Lule Saami;Saami;66.72;18.42;;;
Central Lule Saami;Lule Saami;Saami;67.15;18.47;;;
North Saami;North Saami;Saami;68.72;22.11;Same as Glottolog location;nort2671;sme
Torne North Saami;North Saami;Saami;68.1;21.43;;torn1243;
Sea North Saami;North Saami;Saami;70.3;24.65;;seal1238;
Eastern Inland North Saami;North Saami;Saami;69.73;26.19;;;
Western Inland North Saami;North Saami;Saami;69.03;23.15;;;
Aanaar Saami;Aanaar Saami;Saami;69.05;27.14;;inar1241;smn
Skolt Saami;Skolt Saami;Saami;68.83;29.72;Same as Glottolog location;skol1241;sms
Southern Skolt Saami;Skolt Saami;Saami;68.54;30.34;;;
Northern Skolt Saami;Skolt Saami;Saami;69.35;30.94;;;
Kildin Saami;Kildin Saami;Saami;68.22;35.83;Same as Glottolog location;kild1236;sjd
Kiillt Kildin Saami;Kildin Saami;Saami;69.11;33.76;;;
Arsjogg Kildin Saami;Kildin Saami;Saami;68.44;37.51;;;
Lujaa'vvr Kildin Saami;Kildin Saami;Saami;68.21;35.06;;;
Kårdegg Kildin Saami;Kildin Saami;Saami;68.94;34.98;;;
Akkala Saami;Akkala Saami;Saami;67.86;32.4;Same as Glottolog location;akka1237;sia
Ter Saami;Ter Saami;Saami;67.25;38.51;Same as Glottolog location;ters1235;sjt
Kemi Saami;Kemi Saami;Saami;67.09;27.49;;kemi1239;sjk
Finnish;Finnish;Finnic;62.52;25.75;;finn1318;fin
Southwestern Finnish;Finnish;Finnic;60.7;22.44;;sout2677;
Tavastian Finnish;Finnish;Finnic;61.44;24.03;;hame1240;
Southern Ostrobothnian Finnish;Finnish;Finnic;62.72;22.96;;sout2678;
Mid- and Northern Ostrobothnian Finnish;Finnish;Finnic;64.45;25.58;;cent1985;
Far-Northern Finnish;Finnish;Finnic;67.65;26.72;;pera1253;
